,id,title,rmse,count,cause
168,30816860,뿜뿜,15.9,41,
169,3843565,Boogie On & On,15.84,22,
170,30689468,결혼,15.83,14,
171,30568337,활활 (Burn It Up),15.82,23,
172,3584075,나쁘다 (feat. 진실),15.71,11,
173,418598,친구라도 될 걸 그랬어,15.7,27,
174,3349297,LOVE SONG,15.7,16,
175,3832098,그댈 마주하는건 힘들어 (그마힘),15.69,22,
176,3948908,"씨스루 (Feat. Zion.T, 개코 Of 다이나믹듀오)",15.65,49,
177,4693165,단발머리 (Short Hair),15.63,22,
178,7912749,아마도 그건,15.57,33,
179,31149418,BAAM,15.56,17,
180,3840677,미안해서 미안해 (Feat. G.NA),15.55,16,
181,3145784,파파라치 (Feat. 에릭),15.48,13,
182,3846001,후유증,15.38,13,
183,30550293,사랑하지 않은 것처럼,15.37,32,
184,3436083,끝사랑,15.36,54,
185,3953196,만약에 말야 (전우성 Solo),15.35,41,
186,3106066,처음 사랑하는 연인들을 위해 (반말송),15.26,17,
187,3110581,Back It Up,15.25,11,
188,3422448,Midnight Circus,15.25,15,
189,5449581,Tough Cookie (Feat. Don Mills),15.23,21,
190,3999213,이사람,15.22,14,
191,3852737,내가 먼저 (Feat. 은지원),15.21,11,
192,8104431,같은 곳에서,15.2,20,
193,9620469,우주를 줄게,15.2,64,
194,8028724,너는 나 나는 너,15.19,38,
195,30721801,My Way,15.18,38,
196,3089448,샤이보이,15.15,19,
197,3666277,미치겠어,15.14,14,
198,30702937,우리 둘만 아는,15.14,22,
199,3639713,그 노래를 틀때마다,15.11,17,
200,3395649,이러쿵 저러쿵,15.05,15,
201,3509751,UGLY,14.95,17,
202,30637776,이 별,14.8,58,
203,5493729,싱숭생숭 (SsSs),14.76,21,
204,3833409,Love Again (Feat. 에일리),14.74,15,
205,8167307,불타오르네 (FIRE),14.73,44,
206,3341087,방콕시티 (Bangkok City),14.68,14,
207,3654576,우리 사랑했잖아,14.68,18,
208,3597417,클렌징크림,14.67,15,
209,30132701,저 별,14.62,29,
210,8252409,"호랑나비 (Feat. Gill, 리듬파워, 김흥국)",14.59,24,
211,8261334,미친놈 (Feat. 제시),14.59,17,
212,31196764,여름여름해 (Sunny Summer),14.58,12,계절
213,30962526,"모든 날, 모든 순간 (Every day, Every Moment)",14.52,32,
214,4543502,야생화,14.5,117,
215,5450271,산다는 건 (Cheer Up),14.46,22,
216,851429,기억속의 먼 그대에게,14.45,21,
217,3701333,Heaven,14.44,24,
218,5804040,거북선 (Feat. 팔로알토),14.42,25,
219,5605860,오빠야,14.41,32,
220,4252728,처음엔 사랑이란게,14.39,34,
221,9620473,나만 안되는 연애,14.38,70,
222,3352959,To Me (내게로..),14.34,14,
223,3107348,어쩌라고,14.22,12,
224,3164048,미친거니 (Feat. 방용국),14.21,16,
225,30675647,헤어질 수 밖에,14.19,13,
226,30179099,Excuse Me,14.18,19,
227,3624810,불타는 금요일 (Friday Night),14.14,13,
228,3452769,내가 제일 잘 나가,14.11,20,
229,4230002,예뻐 예뻐,14.06,29,
230,30667988,짙어져,14.06,34,
231,8042169,그댄 행복에 살텐데,14.05,21,
232,30440430,사랑앓이 (With 김나영),14.04,14,
233,30208070,소나기,14.03,30,
234,3488750,Hate You,13.99,15,
235,3986978,Goodbye To Romance,13.96,17,
236,30715020,러브스토리 (Feat. 크러쉬),13.94,11,
237,30878838,고맙다,13.86,13,
238,3860282,아름다운 밤이야,13.83,17,
239,31055324,LATATA,13.76,23,
240,31085244,Anpanman,13.74,24,
241,3099149,Stay,13.73,11,
242,3832079,충분히 예뻐 (feat. 산체스 Of 팬텀),13.68,21,
243,3692955,난리나,13.67,17,
244,3172166,가슴이 뛴다,13.65,16,
245,4544242,그 중에 그대를 만나,13.63,39,
246,9642570,넋두리,13.63,31,
247,30272285,언젠가 (SOMEDAY),13.63,11,
248,7891119,OOH-AHH하게,13.62,52,
249,3348066,너 밖엔 없더라,13.61,14,
250,3763333,두 마리,13.56,14,
251,30519035,FANXY CHILD (Feat. FANXY CHILD),13.56,15,
252,3630755,Trouble Maker,13.55,25,
253,8115192,봄날의 기억,13.55,13,
254,8049264,1cm의 자존심,13.54,15,
255,5385974,위잉위잉,13.53,38,
256,30453635,NEVER,13.5,17,
257,31219546,flex (Prod. By 기리보이),13.5,12,
258,3532821,Top Girl,13.47,12,
259,30566064,"요즘것들 (Feat. ZICO, DEAN)",13.43,18,
260,3516563,Mr. Simple,13.39,13,
261,30054344,TT,13.36,46,
262,3864961,가수가 된 이유,13.34,47,
263,3579341,MR.TAXI (Korean Ver.),13.29,19,
264,3509457,죽을 것만 같아,13.23,11,
265,3689468,지독하게,13.23,14,
266,3110148,잘 된 일이야,13.2,17,
267,30725484,Twilight,13.2,13,
268,30806536,Universe,13.2,44,
269,5791706,오늘부터 우리는 (Me Gustas Tu),13.19,64,
270,3488849,Good-bye Baby,13.16,17,
271,4381724,그대가 분다,13.15,30,
272,3492688,밤 하늘에,13.14,12,
273,30367365,BLUE MOON (Prod. GroovyRoom),13.13,27,
274,4800614,BE I,13.12,14,
275,8109412,D (half moon) (Feat. 개코),13.11,88,
276,4180409,Shadow (그림자),13.03,16,
277,2575587,소주한잔,13.02,12,
278,4050616,나쁜여자,12.98,11,
279,8158031,CHEER UP,12.97,70,
280,30529996,Ko Ko Bop,12.93,42,
281,3968836,되돌리다,12.91,24,
282,3745234,Venus,12.88,11,
283,3480463,모나리자 (Mona Lisa),12.87,14,
284,3507555,툭하면 (Feat. Skull),12.86,12,
